timestamp,host,minimum_latency,maximum_latency,average_latency,packet_loss,jitter,throughput,fault_label
2026-08-07 12:06:06,8.8.8.8,216.0,565.0,256.8888888888889,10.0,88.75,15.30961488378001,high_latency
2026-08-07 12:07:59,8.8.8.8,216.0,226.0,218.1,0.0,2.3333333333333335,15.983942522951434,high_latency
2026-08-07 12:08:56,8.8.8.8,223.0,231.0,227.0,0.0,4.666666666666667,14.781805318280057,high_latency
2026-08-07 12:09:14,8.8.8.8,223.0,231.0,225.0,0.0,2.6666666666666665,18.322622976887168,high_latency
2026-08-07 12:09:37,8.8.8.8,223.0,233.0,226.0,0.0,3.6666666666666665,14.890502915667959,high_latency
2026-08-07 12:10:23,8.8.8.8,223.0,233.0,225.75,0.0,4.0,15.057463898720945,high_latency
2026-08-07 12:10:52,8.8.8.8,223.0,234.0,226.25,0.0,5.0,16.503102763715244,high_latency
2026-08-07 12:11:32,8.8.8.8,223.0,231.0,225.25,0.0,2.6666666666666665,16.66968983270313,high_latency
2026-08-07 12:11:54,8.8.8.8,223.0,232.0,225.75,0.0,3.6666666666666665,16.363489707968576,high_latency
2026-08-07 12:16:46,8.8.8.8,9.18,18.4,11.587499999999999,10.0,3.106666666666667,68.34144292807356,packet_loss
2026-08-07 12:23:28,8.8.8.8,22.7,23.7,23.1,10.0,0.4375,43.29363919163195,packet_loss
2026-08-07 12:24:00,8.8.8.8,8.95,13.9,10.102222222222222,10.0,1.44,67.70335360735547,packet_loss
2026-08-07 12:24:57,8.8.8.8,8.76,28.1,16.414285714285715,10.0,11.340000000000002,40.53648478276522,packet_loss
2026-08-07 12:26:24,8.8.8.8,22.5,32.4,24.544444444444444,10.0,1.987499999999999,,packet_loss
2026-08-07 12:27:22,8.8.8.8,8.77,10.8,9.447777777777778,10.0,0.7775000000000005,26.721694672294337,packet_loss
2026-08-07 12:28:18,8.8.8.8,9.0,13.9,9.915000000000001,10.0,1.4133333333333333,69.43608378410816,packet_loss
2026-08-07 12:30:11,8.8.8.8,8.92,18.4,11.054444444444444,10.0,2.1924999999999994,24.123815105567115,packet_loss
2026-08-07 12:31:07,8.8.8.8,9.0,11.3,9.536666666666667,10.0,0.7387500000000005,79.8889559237872,packet_loss
2026-08-07 12:32:01,8.8.8.8,9.47,17.3,10.54,10.0,1.32875,70.17289320908132,packet_loss
2026-08-07 12:32:55,8.8.8.8,8.93,520.0,63.178,10.0,116.96777777777778,43.44551628985195,packet_loss
2026-08-07 12:33:57,8.8.8.8,9.05,12.5,9.91,0.0,1.435555555555555,56.473008625849005,packet_loss
2026-08-07 12:35:16,8.8.8.8,8.85,523.0,73.7675,20.0,147.08714285714288,6.441526250023757,packet_loss
2026-08-07 12:38:35,8.8.8.8,9.06,72.8,29.339,0.0,35.30888888888889,53.45403162212752,high_jitter
2026-08-07 12:39:28,8.8.8.8,9.15,59.7,30.056,0.0,16.414444444444445,64.8004641070227,high_jitter
2026-08-07 12:41:39,8.8.8.8,22.8,77.8,45.510000000000005,0.0,26.27777777777778,67.56767554401408,high_jitter
2026-08-07 12:42:07,8.8.8.8,9.54,53.3,26.294,0.0,18.08,103.00322015219747,high_jitter
2026-08-07 12:43:29,8.8.8.8,23.7,92.7,57.56,0.0,31.266666666666666,71.66084699408037,high_jitter
2026-08-07 12:45:46,8.8.8.8,9.15,65.7,26.448,0.0,25.515555555555554,54.22670329354217,high_jitter
2026-08-07 12:46:38,8.8.8.8,9.19,78.5,27.997000000000003,0.0,30.571111111111108,62.73720975018744,high_jitter
2026-08-07 12:47:31,8.8.8.8,8.77,69.1,29.441000000000003,0.0,20.805555555555557,64.2717791258277,high_jitter
2026-08-07 12:48:23,8.8.8.8,8.98,71.8,29.585,0.0,26.826666666666668,70.82143704415381,high_jitter
2026-08-07 12:51:57,8.8.8.8,23.0,89.3,48.43,0.0,18.077777777777776,70.05489657672013,high_jitter
2026-08-07 12:57:11,8.8.8.8,9.72,191.0,53.21900000000001,0.0,71.58444444444444,50.50789023217616,high_jitter
2026-08-09 07:20:04,8.8.8.8,24.3,33.9,27.166666666666668,40.0,4.4,,high_jitter
